customer_binary,user_binary,device,os,browser,weekday,hour,product_views_hour,cart_views_hour,purchase_views_hour,page_views_hour,product_views_journey,cart_views_journey,purchase_views_journey,page_views_journey
3a1+o8O8UUuye6u4ZjcoaQ==,8e/lGdlNXUmRdBn3QSBlfA==,2.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
kp2ev3khwEeVqZ7qW0pJug==,grHoqFcor0yHdwP4/xdU5Q==,1.0,4.0,2.0,1,22,2,0,0,2,2,2,2,2
kp2ev3khwEeVqZ7qW0pJug==,grHoqFcor0yHdwP4/xdU5Q==,1.0,4.0,2.0,1,22,2,0,0,2,2,2,2,2
3a1+o8O8UUuye6u4ZjcoaQ==,NzHVRKST20aht8r1uYPXcw==,2.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
O0gXPxm1z0yo2WOV0o+Xkw==,YJ7jI3PEq0etfhyEyliYFQ==,0.0,2.0,0.0,1,22,1,0,0,1,1,1,1,1
MWY5bBVHEEOWUfnTwFnnHQ==,m4MT7ulmIEmDs9v+RClJYA==,0.0,2.0,0.0,1,22,1,0,0,1,1,1,1,1
VCkXEQJxMEaCOzfgHgncSQ==,se0JdODPfkW6lwjm4OqCYg==,0.0,2.0,0.0,1,22,1,0,0,1,1,1,1,1
kp2ev3khwEeVqZ7qW0pJug==,3Aq2b3FggUOGx33/qlkw/g==,8.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
ZGPn2hAg+E+bm+6pAK3e7g==,ZG8ym2BthEq3MRCBfOqfnw==,1.0,4.0,2.0,1,22,3,0,0,3,3,3,3,3
ZGPn2hAg+E+bm+6pAK3e7g==,ZG8ym2BthEq3MRCBfOqfnw==,1.0,4.0,2.0,1,22,3,0,0,3,3,3,3,3
ZGPn2hAg+E+bm+6pAK3e7g==,ZG8ym2BthEq3MRCBfOqfnw==,1.0,4.0,2.0,1,22,3,0,0,3,3,3,3,3
Vfb5r+7yXk68byerajScsQ==,gKZ85aHIp0mwyXT6ZDQIDQ==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
